Time [s],Value,Parity Error,Framing Error
-0.01285675s,0xEF,,
-0.01181475s,0x55,,
-0.01077275s,0xFE,,
-0.00973075s,0x02,,
-0.008689s,0x78,,
-0.007647s,0x7A,,
0.230358s,0xEF,,
0.23139975s,0x55,,
0.23244175s,0xFE,,
0.23348375s,0x03,,
0.23452575s,0x73,,
0.23556775s,0x00,,
0.2366095s,0x76,,
0.29886075s,0xEF,,
0.2999025s,0x55,,
0.3009445s,0xFE,,
0.3019865s,0x03,,
0.3030285s,0x73,,
0.3040705s,0x01,,
0.3051125s,0x77,,
0.476464s,0xEF,,
0.477506s,0x55,,
0.478548s,0xFE,,
0.47959s,0x03,,
0.48063175s,0x7C,,
0.48167375s,0x00,,
0.48271575s,0x7F,,
0.684408s,0xEF,,
0.68545s,0x55,,
0.68649175s,0xFE,,
0.68753375s,0x09,,
0.68857575s,0x76,,
0.68961775s,0x08,,
0.69065975s,0x01,,
0.69170175s,0x10,,
0.69274375s,0x00,,
0.69378575s,0x00,,
0.6948275s,0x00,,
0.6958695s,0x00,,
0.6969115s,0x98,,
0.88526s,0xEF,,
0.886302s,0x55,,
0.887344s,0xFE,,
0.888386s,0x03,,
0.889428s,0x7C,,
0.89047s,0x00,,
0.891512s,0x7F,,
1.08632725s,0xEF,,
1.087369s,0x55,,
1.088411s,0xFE,,
1.089453s,0x04,,
1.090495s,0x77,,
1.091537s,0x00,,
1.092579s,0x00,,
1.093621s,0x7B,,
1.28921125s,0xEF,,
1.290253s,0x55,,
1.291295s,0xFE,,
1.292337s,0x03,,
1.293379s,0x7C,,
1.294421s,0x00,,
1.295463s,0x7F,,
1.489679s,0xEF,,
1.490721s,0x55,,
1.491763s,0xFE,,
1.492805s,0x03,,
1.493847s,0x7D,,
1.49488875s,0x00,,
1.49593075s,0x80,,
1.69205525s,0xEF,,
1.693097s,0x55,,
1.694139s,0xFE,,
1.695181s,0x03,,
1.696223s,0x7C,,
1.69726475s,0x00,,
1.69830675s,0x7F,,
1.89611125s,0xEF,,
1.89715325s,0x55,,
1.89819525s,0xFE,,
1.89923725s,0x03,,
1.900279s,0x7A,,
1.901321s,0x01,,
1.902363s,0x7E,,
2.09721075s,0xEF,,
2.09825275s,0x55,,
2.09929475s,0xFE,,
2.10033675s,0x03,,
2.10137875s,0x7C,,
2.10242075s,0x00,,
2.10346275s,0x7F,,
2.299841s,0xEF,,
2.30088275s,0x55,,
2.30192475s,0xFE,,
2.30296675s,0x03,,
2.30400875s,0x7B,,
2.30505075s,0x00,,
2.30609275s,0x7E,,
2.50056275s,0xEF,,
2.50160475s,0x55,,
2.50264675s,0xFE,,
2.5036885s,0x03,,
2.5047305s,0x7C,,
2.5057725s,0x00,,
2.5068145s,0x7F,,
2.70188375s,0xEF,,
2.70292575s,0x55,,
2.70396775s,0xFE,,
2.70500975s,0x09,,
2.70605175s,0x76,,
2.7070935s,0x08,,
2.7081355s,0x01,,
2.7091775s,0x11,,
2.7102195s,0x00,,
2.7112615s,0x00,,
2.7123035s,0x01,,
2.71334525s,0x2C,,
2.71438725s,0xC6,,
2.903309s,0xEF,,
2.904351s,0x55,,
2.905393s,0xFE,,
2.906435s,0x03,,
2.90747675s,0x7C,,
2.90851875s,0x00,,
2.90956075s,0x7F,,
3.1038095s,0xEF,,
3.1048515s,0x55,,
3.1058935s,0xFE,,
3.10693525s,0x04,,
3.10797725s,0x77,,
3.10901925s,0x00,,
3.11006125s,0x00,,
3.11110325s,0x7B,,
3.3042905s,0xEF,,
3.30533225s,0x55,,
3.30637425s,0xFE,,
3.30741625s,0x03,,
3.30845825s,0x7C,,
3.30950025s,0x00,,
3.31054225s,0x7F,,
3.506204s,0xEF,,
3.507246s,0x55,,
3.508288s,0xFE,,
3.50933s,0x03,,
3.510372s,0x7D,,
3.51141375s,0x00,,
3.51245575s,0x80,,
3.707206s,0xEF,,
3.708248s,0x55,,
3.70929s,0xFE,,
3.710332s,0x03,,
3.71137375s,0x7C,,
3.71241575s,0x00,,
3.71345775s,0x7F,,
3.90807125s,0xEF,,
3.909113s,0x55,,
3.910155s,0xFE,,
3.911197s,0x03,,
3.912239s,0x7A,,
3.913281s,0x01,,
3.914323s,0x7E,,
4.1088255s,0xEF,,
4.1098675s,0x55,,
4.1109095s,0xFE,,
4.1119515s,0x03,,
4.1129935s,0x7C,,
4.1140355s,0x00,,
4.1150775s,0x7F,,
4.309261s,0xEF,,
4.310303s,0x55,,
4.311345s,0xFE,,
4.31238675s,0x03,,
4.31342875s,0x7B,,
4.31447075s,0x00,,
4.31551275s,0x7E,,
4.5094685s,0xEF,,
4.51051025s,0x55,,
4.51155225s,0xFE,,
4.51259425s,0x03,,
4.51363625s,0x7C,,
4.51467825s,0x00,,
4.51572025s,0x7F,,
4.71077s,0xEF,,
4.71181175s,0x55,,
4.71285375s,0xFE,,
4.71389575s,0x09,,
4.71493775s,0x76,,
4.71597975s,0x08,,
4.71702175s,0x01,,
4.71806375s,0x12,,
4.7191055s,0x00,,
4.7201475s,0x00,,
4.7211895s,0x00,,
4.7222315s,0xFA,,
4.7232735s,0x94,,
4.9118305s,0xEF,,
4.9128725s,0x55,,
4.91391425s,0xFE,,
4.91495625s,0x03,,
4.91599825s,0x7C,,
4.91704025s,0x00,,
4.91808225s,0x7F,,
5.1123375s,0xEF,,
5.11337925s,0x55,,
5.11442125s,0xFE,,
5.11546325s,0x04,,
