Time [s],Value,Parity Error,Framing Error
0.0s,0xFE,,
0.0012385s,0x55,,
0.00247675s,0xEF,,
0.003715s,0x12,,
0.00495325s,0x78,,
0.0061915s,0x03,,
0.00743s,0x87,,
0.00866825s,0x00,,
0.0099065s,0x00,,
0.01114475s,0x00,,
0.012383s,0x02,,
0.01362125s,0x00,,
0.01485975s,0x00,,
0.016098s,0x41,,
0.01733625s,0x00,,
0.0185745s,0x00,,
0.01981275s,0x00,,
0.02105125s,0x00,,
0.0222895s,0x00,,
0.02352775s,0x00,,
0.024766s,0x00,,
0.0260045s,0x57,,
0.2727355s,0xFE,,
0.27397375s,0x55,,
0.275212s,0xEF,,
0.2764505s,0x0D,,
0.27768875s,0x73,,
0.278927s,0x00,,
0.28016525s,0x18,,
0.2814035s,0x01,,
0.282642s,0x01,,
0.28388025s,0x01,,
0.2851185s,0x02,,
0.28635675s,0x02,,
0.287595s,0x02,,
0.2888335s,0x02,,
0.29007175s,0x02,,
0.29131s,0x02,,
0.29254825s,0xA7,,
0.42762625s,0xFE,,
0.4288645s,0x55,,
0.43010275s,0xEF,,
0.431341s,0x15,,
0.43257925s,0x73,,
0.43381775s,0x01,,
0.435056s,0xFF,,
0.43629425s,0xFF,,
0.4375325s,0xFF,,
0.43877075s,0xFF,,
0.44000925s,0xFF,,
0.4412475s,0x00,,
0.44248575s,0x00,,
0.443724s,0x00,,
0.44496225s,0x00,,
0.44620075s,0x00,,
0.447439s,0x00,,
0.44867725s,0x00,,
0.4499155s,0x00,,
0.45115375s,0x00,,
0.45239225s,0x00,,
0.4536305s,0x00,,
0.45486875s,0x00,,
0.456107s,0x00,,
0.45734525s,0x84,,
0.5742615s,0xFE,,
0.57549975s,0x55,,
0.576738s,0xEF,,
0.57797625s,0x2F,,
0.5792145s,0x7C,,
0.580453s,0x00,,
0.58169125s,0x00,,
0.5829295s,0x00,,
0.58416775s,0x00,,
0.585406s,0x00,,
0.5866445s,0x00,,
0.58788275s,0x00,,
0.589121s,0x00,,
0.59035925s,0x00,,
0.5915975s,0x00,,
0.592836s,0x00,,
0.59407425s,0x00,,
0.5953125s,0x00,,
0.59655075s,0x00,,
0.597789s,0x00,,
0.5990275s,0x00,,
0.60026575s,0x00,,
0.601504s,0x00,,
0.60274225s,0x00,,
0.6039805s,0x00,,
0.605219s,0x00,,
0.60645725s,0x00,,
0.6076955s,0x00,,
0.60893375s,0x00,,
0.610172s,0x00,,
0.6114105s,0x01,,
0.61264875s,0x00,,
0.613887s,0x00,,
0.61512525s,0x00,,
0.6163635s,0x00,,
0.617602s,0x00,,
0.61884025s,0x00,,
0.6200785s,0x00,,
0.62131675s,0x00,,
0.622555s,0x00,,
0.6237935s,0x00,,
0.62503175s,0x00,,
0.62627s,0x00,,
0.62750825s,0x00,,
0.6287465s,0x00,,
0.629985s,0x00,,
0.63122325s,0x00,,
0.6324615s,0x00,,
0.63369975s,0x00,,
0.634938s,0x00,,
0.6361765s,0xAC,,
0.73874875s,0xFE,,
0.73998725s,0x55,,
0.7412255s,0xEF,,
0.74246375s,0x03,,
0.743702s,0x76,,
0.74494025s,0x00,,
0.74617875s,0x79,,
0.901482s,0xFE,,
0.90272025s,0x55,,
0.90395875s,0xEF,,
0.905197s,0x2F,,
0.90643525s,0x7C,,
0.9076735s,0x00,,
0.90891175s,0x00,,
